ID,人物,传统,现标v1,语句
00730,鲁米,伊斯兰波斯,B,不要对他人之悲闭上眼，因你也是人。——《玛斯纳维·卷三》〔译〕
00731,笛卡尔,西方,B,数学的方法可以推广到一切其他知识领域。——《谈谈方法》第二部分〔意译〕
00732,德谟克利特,西方,B,灵魂由圆而炽的原子（火）构成，正是它赋予生命。——〔译〕《残篇》DK B105（第欧根尼·拉尔修 IX 转引）
00733,塞涅卡,西方,B,宽恕冒犯你的人，如同原谅从前的自己；他依其判断而行，正如你也曾行错。——《论愤怒·3》〔译〕
00734,亚里士多德,西方,B,公道是纠正法律因普遍而生的偏差，使个案归于平等。——〔译〕《尼各马可伦理学》1134a—b
00735,苏格拉底,西方,B,学习就是回忆。——柏拉图《美诺篇》81d〔译〕※
00736,伊壁鸠鲁,西方,A,肉体的快乐，在匮乏之苦除去之后便不再增长。——〔译〕《主要学说》KD 18
00737,朱熹,中国,B,天理只是仁、义、礼、智之总名，仁、义、礼、智便是天理之件数。——《语类》卷十三
00738,加缪,西方,B,社会把异常者定为罪人，以保全它的秩序。——《局外人》〔意译〕
00739,福柯,西方,B,检查，是一种把可见性与权力结合的技术。——《规训与惩罚》〔译〕
00740,莱布尼茨,西方,B,知识来自两个大原则：矛盾律与充足理由律。——《单子论》第31节〔意译〕
00741,庄子,中国,B,彼亦一是非，此亦一是非。——《庄子·齐物论》
00742,阿奎那,西方,A,凡你所愿，当先问：它是否合乎你真正的目的？手段之善，在于指向目的。——《神学大全·I-II·q.1·a.1》〔译〕
00743,萨特,西方,B,人在处境中行动，方才真实。——《存在主义是一种人道主义》〔意译〕
00744,陆九渊,中国,A,心之体甚大，若能尽我之心，便与天同。——《语录》（卷三十五） #self-other
00745,尼采,西方,B,假定真理是一个女人——那么所有哲学家，只要他们是教条主义者，就都不懂女人。——《善恶的彼岸·序言》〔意译〕
00746,孔子,中国,B,君子和而不同，小人同而不和。——《论语·子路》
00747,郭象,中国,A,形全者神全。——《庄子注·达生》
00748,慧能,中国,B,心地无非自性戒，心地无痴自性慧，心地无乱自性定。——《坛经》（敦煌本）
00749,牟宗三,中国,B,科学之成，在知性主体之独立。——《现象与物自身》 〔意译〕
00750,安萨里,伊斯兰波斯,B,俗世之爱，如蛛网；主之爱，如磐石。——《宗教学科的复兴》〔译〕
00751,黄宗羲,中国,B,利不欲其遗于下，福不欲其擅于上。——《明夷待访录·财计》 〔意译〕
00752,密尔,西方,B,理性，是公共讨论中最终的裁判。——《论自由·第二章》〔译〕
00753,韩非,中国,A,行端直则无祸害，无祸害则尽天年。——《韩非子·解老》
00754,惠施,中国,B,其道舛驳，其言也不中。——《庄子·天下》（庄子评其说）
00755,巴门尼德,西方,B,你绝不能认识那不存在者，也不能将它说出；因为可被思者与存在者同一。——〔译〕《论自然》残篇 DK B7（辛普里丘转引）
00756,帕斯卡,西方,A,我们的一切不幸都来自一件事：不知道如何安静地待在自己的房间里。——《思想录》L164〔意译〕
00757,王弼,中国,B,物无妄然，必由其理。——《周易略例·明彖》
00758,密尔,西方,B,两性在法律与机会上的平等，是社会进步的标尺。——《论妇女的从属地位》〔译〕
00759,安萨里,伊斯兰波斯,B,法律（沙里亚）是身之药，苏非之知是心之药。——《宗教学科的复兴》〔译〕
00760,王夫之,中国,B,阴阳二气充满太虚，此外更无他物。——《张子正蒙注·太和篇》
00761,慧能,中国,B,若识众生，即是佛性；若不识众生，万劫觅佛难逢。——《坛经》（敦煌本）
00762,墨子,中国,A,为其所难者，必得其所欲焉。——《墨子·亲士》
00763,王充,中国,B,夫物之相胜，或以筋力，或以气势，或以巧便。——《论衡·物势》
00764,王充,中国,A,文由胸中而出，心以文为表。——《论衡·书解》
00765,维特根斯坦,西方,B,凡是不可说的，必须保持沉默。——《逻辑哲学论》7〔译〕
00766,王充,中国,A,圣贤不能性知，须任耳目以定情实。——《论衡·知实》
00767,熊十力,中国,B,宇宙实体，备万理，含万德，肇万化。——《新唯识论·卷上》
00768,嵇康,中国,A,越名教而任自然。——《释私论》
00769,休谟,西方,A,信念是一种与当前印象相联的生动感觉。——《人性论》卷一·部三·章十〔意译〕
00770,王夫之,中国,B,天职生养，而圣人成能。——《周易外传》 〔意译〕
00771,王阳明,中国,B,你未看此花时，此花与汝心同归于寂；你来看此花时，则此花颜色一时明白起来。——《传习录》 下 #self-other
00772,慧能,中国,A,菩提本无树，明镜亦无台，佛性常清净，何处有尘埃。——《坛经》（敦煌本「菩提偈」）
00773,第欧根尼,西方,B,祭祀与神像不能使人虔诚，唯生活能。——〔意译〕《名哲言行录》卷六（据其反仪式言行）
00774,克尔凯郭尔,西方,B,基督的受难，是对一切世俗荣耀的否定。——《恐惧与颤栗》（Johannes de Silentio）〔译〕
00775,加缪,西方,A,即便无望，我仍选择忠实于自己。——《西西弗神话》〔意译〕
00776,庄子,中国,A,定乎内外之分，辩乎荣辱之境，斯已矣。——《庄子·逍遥游》
00777,巴门尼德,西方,B,在众神之中，她首先造出爱若斯（Eros）以使万有相合。——〔译〕《论自然》残篇 DK B12（辛普里丘转引）
00778,康德,西方,A,责任，是出于对法则之尊重的行动必然性。——《道德形而上学奠基》〔译〕
00779,柏拉图,西方,B,事物因分有理型而得其名与性，理型本身不杂于事物。——〔译〕《斐多》100c—102a
00780,尼采,西方,B,信仰是：不愿知道真相。——《敌基督》第52节〔意译〕
00781,爱比克泰德,西方,B,当乌鸦啼叫或征兆出现，不要说「它预示凶吉」，而说「它只是一个征兆，其意义由我判断」。——《手册·18》〔译〕
00782,赫拉克利特,西方,B,若万物都化为烟，鼻孔自会分辨。——〔译〕《残篇》DK B7（塞克斯都·恩披里柯转引）
00783,孔子,中国,B,百姓足，君孰与不足？百姓不足，君孰与足？——《论语·颜渊》
00784,朱熹,中国,B,为学之实，固在践履。苟徒知而不行，诚与不学无异。——《语类》
00785,商鞅,中国,B,一兔走，百人逐之，非以兔为可分以为百，由名之未定也。——《商君书·定分》
00786,韩非,中国,A,贪愎喜利，则灭国杀身之本也。——《韩非子·十过》
00787,王夫之,中国,A,有豪杰而不圣贤者矣，未有圣贤而不豪杰者也。——《俟解》
00788,胡塞尔,西方,A,真正的哲学思考始于我对自身认知能力的彻底反思。——《笛卡尔式的沉思》〔意译〕
00789,胡塞尔,西方,A,内在的被给予性具有绝对的明见，外在的超越则始终需要证明。——《纯粹现象学通论》§44〔译〕
00790,苏格拉底,西方,A,我唯一知道的，就是我一无所知。——柏拉图《申辩篇》21d〔译〕
00791,康德,西方,A,在必须认错的事情上仍坚持真实，是人格的底线。——《道德形而上学》〔译〕
00792,萨特,西方,A,自欺者把自己当作被造物，以此卸责。——《存在与虚无》〔译〕
00793,程颐,中国,B,人苟以善自治，则无不可移者。——《遗书》卷二十五
00794,张载,中国,A,德性所知，不萌于见闻。——《正蒙·大心》
00795,老子,中国,A,知人者智，自知者明。——《道德经·第三十三章》
00796,商羯罗,印度,A,正如绳被误认为蛇，人以无明将梵误作世界；如实知绳，则蛇怖自灭。——《梵经注·卷二》〔译〕
00797,维特根斯坦,西方,A,自我的确定性，像呼吸一样先于一切提问。——《蓝皮书与褐皮书》〔意译〕
00798,阿伦特,西方,B,现代社会的「社会」领域，吞没了公私之间的界线。——《人的境况》〔译〕
00799,公孙龙,中国,B,天下无白，不可以视石；天下无坚，不可以谓石。坚、白、石不相外，藏三可乎？曰：有自藏也，非藏而藏也。——《公孙龙子·坚白论》
00800,密尔,西方,B,政府的正当性，来自被治者的同意。——《代议制政府》〔译〕
00801,苏格拉底,西方,A,现在我该走了：我去死，你们去活。谁的去处更好，只有神知道。——柏拉图《申辩篇》42a
00802,王阳明,中国,B,心外无物，心外无事，心外无理，心外无义，心外无善。——《传习录》上
00803,王阳明,中国,A,身之主宰便是心，心之所发便是意。——《传习录》上
00804,鲁米,伊斯兰波斯,A,超越头脑的是一片原野，自我在那里消融。——《玛斯纳维·卷三》〔译〕
00805,李贽,中国,A,余性好直，故多忤于人。——《焚书·自赞》
00806,熊十力,中国,B,群生相待而有，非孤立可存。——《原儒·卷三》 〔意译〕
00807,阿奎那,西方,B,万物皆由神从虚无中创造；受造非神之必然，乃其自由的美意。——《神学大全·I·q.45·a.1》〔译〕
00808,慧能,中国,B,若大乘人、最上乘人，闻说《金刚经》，心开悟解。——《坛经》（敦煌本）
00809,加缪,西方,A,我选择在世界面前保持直立。——《夏天》〔意译〕
00810,公孙龙,中国,A,正其所实者，正其名也。——《公孙龙子·名实论》
00811,董仲舒,中国,B,百物去其所与异，而从其所与同。——《春秋繁露·同类相动》
00812,李贽,中国,B,是非之心，人皆有之，不见于行，而见于言。——《焚书·答耿中丞》
00813,鲁米,伊斯兰波斯,B,差别是表象，合一是实相。——《玛斯纳维·卷三》〔译〕
00814,董仲舒,中国,A,性者，天质之朴也；善者，王教之化也。无其质，则王教不能化；无其王教，则质朴不能善。——《春秋繁露·实性》
00815,公孙龙,中国,B,白马非马，马之非马，此天下之至辩也。——《公孙龙子·迹府》
00816,释迦牟尼,印度,B,父母恩重，犹如大地，一肩持父、一肩持母，亦未能报。——《杂阿含经·卷四十三》（一子品）
00817,叔本华,西方,A,意志，是世界的自在之物。——《作为意志和表象的世界》〔译〕
00818,福柯,西方,A,我把自由理解为：不被那样统治的可能。——《什么是批判》〔意译〕
00819,龙树,印度,A,宁可起我见如须弥山，不可恶取空如芥子许。——《大智度论·卷三十一》（戒恶取空）
00820,赫拉克利特,西方,A,人得到自己所愿得的一切，并不更好。——〔译〕《残篇》DK B110（普鲁塔克《如何辨别谄媚者》转引）
00821,荀子,中国,A,君子耻不修，不耻见污；耻不信，不耻不见信。——《荀子·非十二子》
00822,嵇康,中国,B,故六经未必为太阳，不学未必为长夜。——《难自然好学论》
00823,苏格拉底,西方,B,我所能做的，只是让你们自己发现答案，而不是替你们说出答案。——柏拉图《泰阿泰德篇》（助产术自述）〔意译〕※
00824,老子,中国,B,其政闷闷，其民淳淳；其政察察，其民缺缺。——《道德经·第五十八章》
00825,莱布尼茨,西方,B,物质是现象，其底层是单子的聚合。——《单子论》第49节〔意译〕
00826,马克思,西方,B,每个人的自由发展，是一切人自由发展的条件。——《共产党宣言》〔译〕
00827,老子,中国,B,民不畏死，奈何以死惧之？——《道德经·第七十四章》
00828,墨子,中国,A,藏于心者无以竭爱，动于身者无以竭恭。——《墨子·修身》
00829,密尔,西方,A,自我发展的权利，高于习俗的权威。——《论自由·第三章》〔译〕
00830,孔子,中国,A,三军可夺帅也，匹夫不可夺志也。——《论语·子罕》
00831,黑格尔,西方,B,世界历史，是自由意识进展的历史。——《历史哲学讲演录》〔译〕
00832,嵇康,中国,B,夫哀心藏于内，遇和声而后发；和声无象，而哀心有主。——《声无哀乐论》
00833,熊十力,中国,B,体者，具万理而无妄，备万德而恒如。——《新唯识论·卷上》
00834,叔本华,西方,B,世界，是我的表象。——《作为意志和表象的世界·第一篇》〔译〕#self-other
00835,李贽,中国,A,余之落发，岂无故哉！——《焚书·感慨平生》
00836,释迦牟尼,印度,B,如来说法，如师子吼，不畏于他。——《杂阿含经·卷三十二》
00837,鲁米,伊斯兰波斯,A,培养你内在的园圃，莫管他人之田。——《玛斯纳维·卷二》〔译〕
00838,罗素,西方,B,神的全部观念，是从古代东方的专制主义中衍生的。——《为什么我不是基督徒》〔译〕
00839,公孙龙,中国,B,故曰：白马非马也。——《公孙龙子·白马论》
00840,程颢,中国,A,天地之用，皆我之用；孟子言「万物皆备于我」，须反身而诚，乃为大乐。——《识仁篇》 #self-other
00841,黑格尔,西方,A,真正的主体性，是参与到伦理实体之中。——《法哲学原理》〔译〕
00842,嵇康,中国,A,君子之行贤也，不察于有度而后行也；任心无穷，不识于善而著也。——《释私论》
00843,嵇康,中国,A,性复疏懒，筋驽肉缓。——《与山巨源绝交书》
00844,柏拉图,西方,A,我们当使那神圣的理性居于身体顶端，统御全体，一如天统辖地。——〔译〕《蒂迈欧》90a—d
00845,柏拉图,西方,A,理性居于人的头部，统御那必朽的部分。——〔译〕《蒂迈欧》69c—70a
00846,克尔凯郭尔,西方,A,悔改，是不断回到自我、重新开始。——《致死的疾病》（Anti-Climacus）〔译〕
00847,鲁米,伊斯兰波斯,B,爱不止于情人相拥，爱是消融「你」「我」之界。——《玛斯纳维·卷三》〔译〕
00848,慧能,中国,A,何期自性本自清净；何期自性本不生灭；何期自性本自具足；何期自性本无动摇；何期自性能生万法。——《坛经·行由品》（敦煌本）
00849,叔本华,西方,A,人生的智慧，首要在于摆正自己与自身的关系。——《附录与补遗·人生的智慧》〔译〕
00850,朱熹,中国,A,百学须先立志。——《语类》
00851,熊十力,中国,B,六经皆圣人之制作，所以揭宇宙之真，示人生之正。——《读经示要·卷一》
00852,王夫之,中国,B,一姓之兴亡，私也；而生民之生死，公也。——《读通鉴论·卷十七》
00853,墨子,中国,A,士虽有学，而行为本焉。——《墨子·修身》
00854,孙子,中国,B,兵者，诡道也。——《孙子兵法·计篇》
00855,亚里士多德,西方,B,灵魂是潜在具有生命的自然身体的第一实现（形式）。——〔译〕《论灵魂》412a—b
00856,孟子,中国,B,君之视臣如手足，则臣视君如腹心；君之视臣如土芥，则臣视君如寇仇。——《孟子·离娄下》
00857,董仲舒,中国,A,夫人君莫不欲安存而恶危亡，然而政乱国危者，所在皆是，岂可不慎哉！——《汉书·董仲舒传》（举贤良对策）
00858,赫拉克利特,西方,A,我探察了我自己。——〔译〕《残篇》DK B101（第欧根尼·拉尔修 IX.5 转引）
00859,孟子,中国,A,我善养吾浩然之气。——《孟子·公孙丑上》
00860,阿伦特,西方,A,我愿做那发出不和谐之声的人，也不做齐声合唱的一员。——《过去与未来之间》〔意译〕
00861,洛克,西方,B,容忍异见者，是基督徒与公民的双重义务。——《论宗教宽容》〔意译〕
00862,黄宗羲,中国,A,静坐非枯寂，要在观未发之中。——《明儒学案》 〔意译〕
00863,顾炎武,中国,B,凡文之不关于六经之指、当世之务者，一切不为。——《亭林文集·与人书三》
00864,柏拉图,西方,A,教育不是把视力放进瞎子的灵魂，而是使整个灵魂转向光明。——〔译〕《理想国》518c—d
00865,克里希那穆提,印度,A,自我（ego）是冲突与分裂的中心。——《重新认识你自己》〔译〕
00866,王夫之,中国,B,私欲之中，天理所寓。——《读通鉴论》 〔意译〕
00867,福柯,西方,A,我的工作，是让那些被视为「自然」之物显露出它的历史偶然。——《知识考古学》〔意译〕
00868,阿奎那,西方,B,人法若违自然法，便不成其为法；强权非法，唯义为法。——《神学大全·I-II·q.95·a.2》〔译〕
00869,吉田兼好,日本,B,山河不改，人事已非。——《徒然草》〔译〕
00870,爱比克泰德,西方,A,不要因自己尚无苏格拉底的德性而沮丧，但要像朝着那个目标前进的人那样生活。——《手册·33》〔译〕
00871,王阳明,中国,A,此心光明，亦复何言。——《传习录》下（临终语）
00872,克尔凯郭尔,西方,B,真理，在群众中蒸发。——《日记》（Papirer）〔译〕
00873,罗素,西方,A,爱与知识，只要可能，就把人引向天堂；唯有怜悯总把我带回尘世。——《自传·序言》〔译〕
00874,牟宗三,中国,B,真理之全体，在非分别说的圆融中显。——《圆善论》 〔意译〕
00875,张载,中国,B,太虚无形，气之本体；其聚其散，变化之客形尔。——《正蒙·太和》
00876,周敦颐,中国,B,乾道成男，坤道成女。——《太极图说》
00877,海德格尔,西方,A,真理（aletheia）原意是无蔽，而非命题符合。——《存在与时间》§44〔译〕
00878,亚里士多德,西方,A,我们因行公正之举而成为公正之人，因节制之举而成为节制之人。——〔译〕《尼各马可伦理学》1104a—b
00879,海亚姆,伊斯兰波斯,A,圣人书卷千卷，不及杯中酒一字真。——《鲁拜集》〔译〕
00880,老子,中国,B,天地不仁，以万物为刍狗；圣人不仁，以百姓为刍狗。——《道德经·第五章》
00881,郭象,中国,A,忘适之适，乃天下之至适。——《庄子注·达生》
00882,克里希那穆提,印度,A,你必须成为自己的光。——《人生中不可不想的事》〔译〕
00883,海德格尔,西方,A,把自身交托给最本己的能在，是此在的最高自由。——《存在与时间》§62〔译〕
00884,孔子,中国,A,内省不疚，夫何忧何惧？——《论语·颜渊》
00885,马可·奥勒留,西方,A,我常常感到惊讶：我们爱自己胜过爱他人，却更在意他人的看法胜过自己的看法。——《沉思录》卷十·33〔意译〕
00886,巴门尼德,西方,B,存在者圆满自足，不欠缺任何部分，如球体般无懈可击。——〔译〕《论自然》残篇 DK B8（辛普里丘转引）
00887,道元,日本,A,当下即是，不待他日。——《正法眼藏·現成公案》
00888,海亚姆,伊斯兰波斯,B,风雨不问人间愁，自来自去。——《鲁拜集》〔译〕
00889,王弼,中国,B,寂然至无，是其本矣。——《老子注·二十五章》
00890,赫拉克利特,西方,A,对所有人来说，认识自己与清醒思考，乃是一种德性与智慧。——〔译〕《残篇》DK B116（斯托拜乌斯《选集》转引）
00891,雅斯贝尔斯,西方,A,人只有在临界处境中，才真正面对自己的存在。——《哲学》第一卷〔意译〕
00892,奥古斯丁,西方,A,我虽微小，却蒙你以形象造我；这形象纵被罪污，仍未灭。——《论三位一体·14·3》〔译〕
00893,陆九渊,中国,B,学者大病，在师心自用。——《语录》
00894,孙子,中国,B,攻其无备，出其不意。——《孙子兵法·计篇》
00895,商羯罗,印度,B,如一瓶破而同归于土，多我实皆归梵。——《梵经注·卷二》〔译〕
00896,罗素,西方,B,世界上真正麻烦的，是愚人过于确信、智者充满怀疑。——《怀疑论集》⚠️〔通行转述，详见第五节〕
00897,亚里士多德,西方,B,快乐非生成而是实现活动；它完满地伴随每种活动而生。——〔译〕《尼各马可伦理学》1153a—b
00898,阿伦特,西方,B,行动的危险，在于它一经作出便不可撤销。——《人的境况》〔译〕
00899,伊壁鸠鲁,西方,A,灵魂的最大之善，是审慎（phronesis）。——〔译〕《梵蒂冈格言集》VS 79
00900,密尔,西方,A,唯有自主选择，才使行为真正属于我。——《论自由》〔译〕
00901,张载,中国,B,万物皆有理，若不知穷理，如梦过一生。——《张子语录》
00902,加缪,西方,A,登上顶峰的斗争本身，足以充实人的心灵。——《西西弗神话》〔译〕
00903,罗素,西方,A,面对死亡，我选择把它看作自然秩序的一部分，而非灾祸。——《自传》〔意译〕
00904,帕斯卡,西方,A,人不能安心做野兽，又无法真正成为天使。——《思想录》L162〔意译〕
00905,亚里士多德,西方,B,存在之为存在，是首要、最普遍的探究对象。——〔译〕《形而上学》1003a
00906,郭象,中国,B,天倪者，自然之均也。——《庄子注·齐物论》
00907,帕斯卡,西方,A,虚荣深植于人心；即便我们嘲笑它，它仍使我们虚荣。——《思想录》L412〔意译〕
00908,龙树,印度,A,心若清净，则见一切法清净；心若染着，则一切成缚。——《大智度论·卷三十二》〔意译〕
00909,波普尔,西方,B,理论不能被证实，只能被暂时驳倒。——《科学发现的逻辑》〔译〕
00910,柏拉图,西方,B,过度的自由使民主制堕落为僭主制。——〔译〕《理想国》562a—564a
00911,柏拉图,西方,A,所谓净化，正是指灵魂尽可能脱离身体、独自居留。——〔译〕《斐多》67c—68a
00912,德谟克利特,西方,A,希望鼓舞智者，却欺骗愚者。——〔译〕《残篇》DK B55（斯托拜乌斯转引）
00913,赫拉克利特,西方,B,太阳不会越出它的尺度；否则正义的复仇女神自会将其擒获。——〔译〕《残篇》DK B94（普鲁塔克《论自然哲学》转引）
00914,马克思,西方,A,人的类本质，是自由自觉的活动。——《1844年经济学哲学手稿》〔译〕
00915,孔子,中国,A,见贤思齐焉，见不贤而内自省也。——《论语·里仁》
00916,苏格拉底,西方,A,我若自以为已有所知，就无法继续追问；正因承认无知，我才能不断求索。——柏拉图《申辩篇》〔意译〕
00917,龙树,印度,A,修习空观，能断一切见网，见网断已，心得自在。——《十二门论·观因缘门》〔意译〕
00918,王弼,中国,B,朴，真也。真散则百行出，殊类生，若器也。——《老子注·二十八章》
00919,克尔凯郭尔,西方,A,当你只向外寻求时，你就失去了自己。——《非此即彼》（Victor Eremita 编纂）〔译〕
00920,海亚姆,伊斯兰波斯,A,书生论道，不如村翁一醉见真。——《鲁拜集》〔译〕
00921,商羯罗,印度,B,自在天以摩耶为力创造世界，彼自身则不染创造。——《梵经注·卷二》〔译〕
00922,海亚姆,伊斯兰波斯,B,星图既定，人算徒劳。——《鲁拜集》〔译〕
00923,胡塞尔,西方,A,我在感知时，并非拥有对象的全部，而是拥有它「侧面性的」显现。——《纯粹现象学通论》§43〔译〕
00924,牟宗三,中国,B,本体之流行于万物，即是天道之遍在。——《心体与性体·第一部》 〔意译〕
00925,罗素,西方,B,恐惧是这一切的根基——对神秘的恐惧、对失败的恐惧、对死亡的恐惧。——《为什么我不是基督徒》〔译〕
00926,罗素,西方,B,权力欲，或许是历史中最强大的动机力量。——《权力论》〔译〕
00927,马克思,西方,A,新唯物主义的立足点，是人类社会或社会化了的人类。——《关于费尔巴哈的提纲》第十条〔译〕
00928,帕斯卡,西方,B,人用消遣遮蔽死亡，正如用喧嚣遮蔽沉默。——《思想录》L136〔意译〕
00929,王弼,中国,A,知为天下之先，必后也，是以圣人后其身而身先也。——《老子注·二十八章》
00930,阿伦特,西方,B,判断，是在不与他人一致的情况下，仍与他人共同生活的能力。——《判断随笔》〔意译〕
00931,阿奎那,西方,A,人最终的归宿是幸福；一切作为，皆以幸福为终极目的。——《神学大全·I-II·q.1·a.1》〔译〕
00932,张载,中国,B,世人之心，止于闻见之狭。——《正蒙·大心》
00933,商羯罗,印度,B,如一人卧而见异境，醒则知唯己心；世间亦尔，实唯梵现。——《蛙氏奥义书注》〔译〕
00934,嵇康,中国,A,夫气静神虚者，心不存于矜尚；体亮心达者，情不系于所欲。——《答难养生论》
00935,柏拉图,西方,A,由爱之阶梯攀升，终至观照那绝对的、单纯的美本身。——〔译〕《会饮》210e—212a
00936,孙子,中国,B,兵非贵益多也，惟无武进，足以并力、料敌、取人而已。——《孙子兵法·行军篇》
00937,孙子,中国,A,故善战人之势，如转圆石于千仞之山者，势也。——《孙子兵法·势篇》
00938,僧肇,中国,B,真谛无相，故般若无知。——《般若无知论》
00939,克里希那穆提,印度,A,觉察念头而不加以评判，是智慧的开端。——《智慧的觉醒》〔译〕
00940,洛克,西方,B,真理不靠权威确立，而靠证据的检验。——《人类理解论》卷四·章十七·节4〔意译〕
00941,叔本华,西方,A,我的本质，是那盲目的、永不满足的求生意志。——《作为意志和表象的世界》〔译〕
00942,王充,中国,A,充书违诡于俗。——《论衡·自纪》
00943,休谟,西方,B,道德判断传达的是赞同或谴责的情感，而非事实命题。——《人性论》卷三·部一·章一〔意译〕
00944,海德格尔,西方,A,我的生命是被抛的筹划，在两者之间展开。——《存在与时间》〔意译〕
00945,庄子,中国,A,小知不及大知，小年不及大年。——《庄子·逍遥游》
00946,休谟,西方,B,历史中的迷信比宗教更有害于人类幸福。——《宗教的自然史》〔意译〕
00947,福柯,西方,A,我写作，是为了摆脱自己，而非为了确立自己。——《言与文》〔意译〕
00948,程颢,中国,A,两忘则澄然无事矣。无事则定，定则明。——《定性书》
00949,塞涅卡,西方,B,神让好人受磨炼，如同火炼金；逆境不是惩罚，是考验。——《论天意·1》〔译〕
00950,顾炎武,中国,B,保天下者，匹夫之贱与有责焉耳矣。——《日知录·正始》
00951,龙树,印度,A,若于空生怖畏，是人未解法，如幼稚闻空而惊。——《大智度论·卷三十一》〔意译〕
00952,巴门尼德,西方,A,你当以心去把握那远离感官的、不可动摇的东西，莫被眼睛的视看所牵引。——〔译〕《论自然》残篇 DK B7（辛普里丘转引）
00953,王弼,中国,A,复命则得性命之常。——《老子注·十六章》
00954,黄宗羲,中国,B,不以一己之利为利，而使天下受其利；不以一己之害为害，而使天下释其害。——《明夷待访录·原君》
00955,张载,中国,B,知足不辱，知止不殆，此知道者之所务也。——《正蒙·至当》
00956,墨子,中国,A,本不固者末必几。——《墨子·修身》
00957,阿伦特,西方,A,我把每一个判断都当作一次冒险，因为我没有规则可倚。——《责任与判断》〔意译〕
00958,孔子,中国,A,不义而富且贵，于我如浮云。——《论语·述而》
00959,亚里士多德,西方,A,勇敢并非无所惧，而是惧所当惧、对不该惧者不惧。——〔译〕《尼各马可伦理学》1115a
00960,孙子,中国,B,故形人而我无形，则我专而敌分。——《孙子兵法·虚实篇》
00961,慧能,中国,B,让则尊卑和睦，忍则众恶无喧。——《坛经·无相颂》（宗宝本） ⚠️
00962,陆九渊,中国,A,六经注我，我注六经。——《语录》
00963,慧能,中国,A,于诸境上，心不染，曰无念。——《坛经》（敦煌本）
00964,程颢,中国,A,识得此理，以诚敬存之而已，不须防检，不须穷索。——《识仁篇》（与 1 同源，取「诚敬存之」句独立）
00965,加缪,西方,A,人通过承担自身荒诞，获得尊严。——《西西弗神话》〔译〕
00966,安萨里,伊斯兰波斯,B,友谊贵在相劝于善，非相助于欲。——《宗教学科的复兴》〔译〕
00967,笛卡尔,西方,A,在行动上要尽可能坚决、果断，一旦选定就毫不动摇。——《谈谈方法》第三部分（临时道德准则第二条）〔意译〕
00968,老子,中国,B,大道废，有仁义；智慧出，有大伪。——《道德经·第十八章》
00969,孙子,中国,B,善动敌者，形之，敌必从之；予之，敌必取之。——《孙子兵法·势篇》
00970,巴门尼德,西方,A,凡人的思想，并没有真实的确信。——〔译〕《论自然》残篇 DK B1（辛普里丘转引，属「意见之路」转述）
00971,密尔,西方,B,代议制政府，是最可欲的政府形式。——《代议制政府·第一章》〔译〕
00972,庄子,中国,A,自事其心者，哀乐不易施乎前。——《庄子·人间世》
00973,阿伦特,西方,A,我关心的，始终是具体的人，而非抽象的人类。——《人的境况》〔意译〕
00974,董仲舒,中国,B,古之造文者，三画而连其中，谓之王。三画者，天地与人也，而连其中者，通其道也。取天地与人之中以为贯而参通之，非王者孰能当是？——《春秋繁露·王道通三》
00975,德谟克利特,西方,B,事物不断放出细微影像（eidola），影像进入感官而生视觉。——〔译〕《残篇》DK B135（第欧根尼·拉尔修 IX 转引）
00976,鲁米,伊斯兰波斯,A,我死如矿物，活如植物，长成动物，终成人，这趟旅程是自我的层层蜕变。——《玛斯纳维·卷三》〔译〕
00977,塞涅卡,西方,A,当你动怒，先停顿；愤怒来如闪电，去也如无，唯留下的伤痕长存。——《论愤怒·1·1》〔译〕
00978,老子,中国,A,柔弱者，生之徒。——《道德经·第七十六章》
00979,李贽,中国,B,咸以孔子之是非为是非，故未尝有是非耳。——《藏书·世纪列传总目前论》
00980,孔子,中国,B,逝者如斯夫，不舍昼夜。——《论语·子罕》
00981,萨特,西方,B,世界无意义，但人赋予它意义，这是人的荣耀。——《存在与虚无》〔意译〕
00982,罗素,西方,B,自由，首先是免于恐惧与匮乏的自由。——《自由与组织》〔意译〕
00983,胡塞尔,西方,A,判断是我主动构成的、负有责任的意意义成就。——《笛卡尔式的沉思》〔意译〕
00984,休谟,西方,A,我们的知识若严格审查，大半只是习惯。——《人性论》卷一·部四·章一〔意译〕
00985,周敦颐,中国,B,古者圣王，制礼法，修教化，三纲正，九畴叙，百姓大和，万物咸若。——《通书·乐上》
00986,雅斯贝尔斯,西方,A,临界处境不可被消除，只能被承受与超越。——《哲学》第一卷〔意译〕
00987,加缪,西方,B,极权以未来的名义，屠杀现在的人。——《反抗者》〔意译〕
00988,黄宗羲,中国,A,为学之要，在于切己体认。——《明儒学案》 〔意译〕
00989,道元,日本,A,眼横鼻直，本来现成。——《正法眼藏·佛語心》
00990,王充,中国,B,天生万物，欲令相为用，不得不相贼害也。——《论衡·物势》
00991,孙子,中国,A,兵闻拙速，未睹巧之久也。——《孙子兵法·作战篇》
00992,苏格拉底,西方,A,要关心灵魂的最大改善，而不是身体与钱财。——柏拉图《申辩篇》29d—30b〔译〕
00993,孟子,中国,B,养生丧死无憾，王道之始也。——《孟子·梁惠王上》
00994,马克思,西方,A,宗教，是还没有获得自身或已再度丧失自身的人的自我意识和自我感觉。——《1844年经济学哲学手稿》〔译〕
