人物,传统,现标v1,对象域v2,语句
马可·奥勒留,西方,A,自我,如果有人轻视你，随他去；重要的是你自己不要做可被轻视的事。——《沉思录》卷十·13〔意译〕
赫拉克利特,西方,B,符号,人们若以为自己知道其实不知道的事，便会自欺。——〔译〕《残篇》DK B17（塞克斯都·恩披里柯《 Pyrrhoniae 论纲》转引）
巴门尼德,西方,B,世界,你将知晓那以太的本性，与其中一切征兆，并那无瑕的太阳之火。——〔译〕《论自然》残篇 DK B10（辛普里丘转引）
李贽,中国,B,符号,人之是非，初无定质；人之是非人也，亦无定论。——《焚书·答耿中丞》
亚里士多德,西方,B,他者,"奴隶是""会说话的工具""，是活着的财产。——〔译〕《政治学》1253b—1260a"
陆九渊,中国,A,自我,收拾精神，自作主宰。——《语录》（卷三十五）
庄子,中国,B,世界,道在屎溺。——《庄子·知北游》
冯友兰,中国,B,符号,形上学所讲者，是对于一切事实底形式底解释。——《新理学·绪论》
王弼,中国,B,符号,夫事有归，理有会。故得其归，事虽殷大，可以一名举；得其会，理虽博，可以至约穷也。——《论语集解》引王弼《论语释疑》（一以贯之注）
尼采,西方,A,自我,我宁愿做萨提尔，也不愿做圣人。——《瞧，这个人》〔意译〕
雅斯贝尔斯,西方,B,他者,历史没有预定目的，却朝向可能统一的实存交往。——《历史的起源与目标》〔意译〕
巴门尼德,西方,B,世界,天穹环抱大地，以太在外，火在最外层运转。——〔译〕《论自然》残篇 DK B13（辛普里丘转引）
爱比克泰德,西方,B,自我,神让每个人都被置于某种外在条件中，以考验他能否在其中守持自己的判断。——《手册·17》〔意译〕
僧肇,中国,B,世界,夫至虚无生者，盖是般若玄鉴之妙趣，有物之宗极。——《不真空论》
康德,西方,B,符号,审美判断，无概念却要求普遍有效。——《判断力批判·§9》〔译〕
郭象,中国,A,世界,故乘天地之正者，即是顺万物之性也。——《庄子注·逍遥游》
克尔凯郭尔,西方,A,符号,信仰的跳跃，不能由理性来担保。——《哲学片段》（Johannes Climacus）〔译〕
公孙龙,中国,A,符号,"公孙龙疾名实之散乱，因资材之所长，为""守白""之论。——《公孙龙子·迹府》"
维特根斯坦,西方,A,自我,我的意志在世界中只能是价值的承载者，而非事实的制造者。——《逻辑哲学论》6.43〔译〕
孔子,中国,B,他者,举直错诸枉，能使枉者直。——《论语·颜渊》
加缪,西方,B,他者,正义若不以生命为尺度，便沦为暴政。——《反抗者》〔意译〕
阿伦特,西方,B,他者,我们衡量一个社会，要看它如何对待那些「多余的人」。——《极权主义的起源》〔意译〕
张载,中国,B,符号,见闻之知，乃物交而知，非德性所知。——《正蒙·大心》
郭象,中国,A,世界,真者，自然也。——《庄子注·大宗师》
萨特,西方,B,他者,人应当为他人自由而战，因那是自己自由的条件。——《存在主义是一种人道主义》〔译〕
周敦颐,中国,A,自我,无欲则静虚动直。静虚则明，明则通；动直则公，公则溥。——《通书·圣学》
亚里士多德,西方,B,他者,正义是完满的德性，关乎他者，如星辰之于夜空。——〔译〕《尼各马可伦理学》1129a—1130a
洛克,西方,A,符号,人的理解若不受训练，天赋再高也无用。——《人类理解论》卷一·章二·节12〔意译〕
萨特,西方,A,自我,意识到自由，是痛苦的，但它是人的尊严。——《存在与虚无》〔意译〕
赫拉克利特,西方,B,他者,战争是万物之父，也是万物之王；它使一些人成为神，一些人成为人，使一些人为奴，一些人为自由。——〔译〕《残篇》DK B53（克莱门《杂记》转引）
伊壁鸠鲁,西方,B,自我,习惯当有所节制，方不致为虚妄所役。——〔译〕《梵蒂冈格言集》VS 81
巴门尼德,西方,A,同一,同一者，既为可思者，亦为存在者。——〔译〕《论自然》残篇 DK B3（辛普里丘转引）
维特根斯坦,西方,B,符号,世界由不可怀疑的命题所支撑，而非由证明。——《论确实性》〔意译〕
帕斯卡,西方,B,符号,一切时代的哲人都彼此矛盾，正说明单凭理性不够。——《思想录》L445〔意译〕
僧肇,中国,B,世界,庄生之所以藏山，仲尼之所以临川，斯皆感往者之难留，岂曰排今而可往？——《物不迁论》
德谟克利特,西方,A,他者,损害他人者，先已损害了自己。——〔译〕《残篇》DK B69（斯托拜乌斯转引）
嵇康,中国,B,世界,夫为稼于汤之世，偏有一溉之功者，虽终归于燋烂，必一溉者后枯。——《养生论》
苏格拉底,西方,A,自我,真正重要的，不是活着，而是活得正当。——柏拉图《克力同篇》48b〔译〕
郭象,中国,A,世界,知天人之所为者，皆自然也。——《庄子注·大宗师》
王弼,中国,B,世界,天下之物，皆以有为生。有之所始，以无为本。将欲全有，必反于无也。——《老子注·四十章》
李贽,中国,A,自我,童心既障，于是发而为言语，则言语不由衷。——《焚书·童心说》
孔子,中国,A,自我,富与贵，是人之所欲也；不以其道得之，不处也。贫与贱，是人之所恶也；不以其道得之，不去也。——《论语·里仁》
冯友兰,中国,A,自我,知天，是天地境界中底人所必有底觉解。——《新原人·第四章》
郭象,中国,A,自我,夫安于命者，无往而非逍遥矣。——《庄子注·大宗师》
阿伦特,西方,B,他者,贫困，是迫使人们退出公共领域的暴政。——《论革命》〔意译〕
王弼,中国,A,自我,圣人达自然之性，畅万物之情，故因而不为，顺而不施。——《老子注·二十九章》
德谟克利特,西方,A,自我,勇敢者并非不感恐惧，而是能战胜恐惧。——〔译〕《残篇》DK B40（斯托拜乌斯转引）
马克思,西方,B,他者,分工，是私有制与异化的根源。——《德意志意识形态》〔译〕
德谟克利特,西方,B,他者,内乱是城邦最大的灾祸，制造者当受罚。——〔译〕《残篇》DK B255（斯托拜乌斯转引）
阿奎那,西方,B,世界,受造之物，其本质与存在有别；是其所是，与「存在」并非一事。——《论存在与本质》〔译〕
柏拉图,西方,B,世界,线段喻：可见世界与可知世界各分两段，真理程度迥异。——〔译〕《理想国》509d—511e
康德,西方,A,自我,定言命令不带任何条件；它命令，只因它是义务。——《道德形而上学奠基》〔译〕
黑格尔,西方,B,他者,现代国家，是自由的现实化。——《法哲学原理》〔译〕
尼采,西方,A,自我,我现在不愿走任何人的路，无论是走在我前面的，还是走在我上面的。——《查拉图斯特拉如是说·论三种变形》〔意译〕
陆九渊,中国,B,世界,道在天下，加之不可，损之不可，取之不可，舍之不可。——《语录》
庄子,中国,B,符号,朝菌不知晦朔，蟪蛄不知春秋。——《庄子·逍遥游》
朱熹,中国,A,自我,为学工夫，不在日用之外。——《语类》
吉田兼好,日本,A,自我,花不必盛，月不必圆；缺月、薄花，自有其趣。——《徒然草·第9段》〔译〕
孟子,中国,A,自我,天将降大任于是人也，必先苦其心志，劳其筋骨，饿其体肤，空乏其身，行拂乱其所为。——《孟子·告子下》
董仲舒,中国,A,他者,故治乱废兴在于己，非天降命不可得反。——《汉书·董仲舒传》（举贤良对策）
嵇康,中国,A,自我,养生有五难：名利不灭，此一难也；喜怒不除，此二难也；声色不去，此三难也；滋味不绝，此四难也；神虑消散，此五难也。——《答难养生论》
王阳明,中国,B,自我,人人自有定盘针，万化根源总在心。——《咏良知四首示诸生》
亚里士多德,西方,A,自我,大度者自视配得大荣，举止从容、不记小怨。——〔译〕《尼各马可伦理学》1123a—1125a
吉田兼好,日本,A,自我,处顺境如处逆，是定力。——《徒然草》〔译〕
朱熹,中国,A,符号,读书无疑者，须教有疑；有疑者，却要无疑，到这里方是长进。——《语类》卷十一
程颢,中国,A,自我,富贵不淫贫贱乐，男儿到此是豪雄。——《秋日》
海德格尔,西方,A,自我,我的存在总是「我的」，无人能替我承担。——《存在与时间》〔意译〕
笛卡尔,西方,A,自我,在一切知识中，首先应当认识的是我们自己的心灵。——《哲学原理》序言〔意译〕
雅斯贝尔斯,西方,B,符号,真正的理性，是在超越中把握自身限度的理性。——《哲学》〔意译〕
柏拉图,西方,B,世界,世界的创造者是善的，故所造世界是诸可能中最好的。——〔译〕《蒂迈欧》29e—30a
笛卡尔,西方,B,自我,一切观念中，最清楚的是上帝的观念和我自己的观念。——《第一哲学沉思集》第三沉思〔意译〕
顾炎武,中国,B,他者,礼义廉耻，国之四维；四维不张，国乃灭亡。（引《管子》而申之）——《日知录·廉耻》
商羯罗,印度,B,符号,知识（vidyā）能破无明，如日破暗；非以业行能得梵。——《梵经注·卷三》〔译〕
海亚姆,伊斯兰波斯,A,自我,棋局已布，落子无悔，人乃局中子。——《鲁拜集》〔译〕
顾炎武,中国,B,他者,故国之本在民，民之本在食。——《日知录》 〔意译〕
道元,日本,A,自我,学者须知：行持即是佛行，非别有所证。——《正法眼藏·行持》
孔子,中国,B,他者,己欲立而立人，己欲达而达人。——《论语·雍也》
老子,中国,B,符号,道可道，非常道；名可名，非常名。——《道德经·第一章》
孙子,中国,A,他者,兵者，国之大事，死生之地，存亡之道，不可不察也。——《孙子兵法·计篇》
韩非,中国,B,他者,事因于世，而备适于事。——《韩非子·五蠹》
阿伦特,西方,B,他者,暴力能摧毁权力，却无法创造权力。——《论革命》〔译〕
德谟克利特,西方,A,自我,被称善还不够，成为善才是。——〔译〕《残篇》DK B118（斯托拜乌斯转引）
牟宗三,中国,A,自我,真我之呈现，在逆觉体证。——《心体与性体·第一部》 〔意译〕
海德格尔,西方,B,自我,存在之真理，需要人被置入其敞开之境。——《关于人道主义的书信》〔译〕
奥古斯丁,西方,B,世界,永恒不是时间的无尽延展，而是全然同在；神之「今」，无过去未来。——《上帝之城·11·?》〔译〕
程颢,中国,B,世界,天下善恶皆天理。——《遗书》卷二上
僧肇,中国,B,世界,故《中论》云：诸法不有不无者，第一真谛也。——《不真空论》
张载,中国,A,自我,体其受而归全者，参乎；勇于从而顺令者，伯奇也。——《西铭》
嵇康,中国,B,他者,若乃骄盈肆志，阻兵擅权，矜威纵虐，祸蒙丘山。——《太师箴》
董仲舒,中国,A,自我,性虽出善，而性未可谓善也。——《春秋繁露·深察名号》
张载,中国,A,自我,心解则悟，不必泥文。——《张子语录》
王阳明,中国,A,自我,圣人之学，不是这等捆缚苦楚的，不是妆做道学的模样。——《传习录》下
斯宾诺莎,西方,B,他者,民主制最能保障和平与自由，尽管难以长久维持。——《政治论》第十一章〔意译〕
加缪,西方,A,自我,我以我的冷漠对抗世界的冷漠。——《局外人》〔意译〕
龙树,印度,A,自我,观身如幻，观受如梦，观心如响，是名正观。——《大智度论·卷二十》〔意译〕
孙子,中国,A,他者,主不可以怒而兴师，将不可以愠而致战。——《孙子兵法·火攻篇》
奥古斯丁,西方,B,世界,受造界在无声中述说造主；你若静听，万物皆言。——《忏悔录·11·4》〔译〕
龙树,印度,B,符号,语言名字，皆是假立；诸法实相，离于言说。——《大智度论·卷三十二》〔意译〕
奥古斯丁,西方,A,他者,当我对你无话可说，那沉默本身已是赞美。——《忏悔录·1·4》〔译〕
孔子,中国,B,自我,性相近也，习相远也。——《论语·阳货》
阿伦特,西方,B,他者,拥有权利的权利，是流亡者与无国籍者最后、最根本的权利。——《极权主义的起源》〔译〕
庄子,中国,B,符号,井蛙不可以语于海者，拘于虚也；夏虫不可以语于冰者，笃于时也；曲士不可以语于道者，束于教也。——《庄子·秋水》
黄宗羲,中国,A,自我,慎独者，学问之第一义。——《明儒学案》 〔意译〕
福柯,西方,B,他者,理性的胜利，伴随着对非理性的禁闭。——《疯癫与文明》〔译〕
王弼,中国,A,世界,大巧，因自然以成器，不造为异端。——《老子注·四十五章》
僧肇,中国,B,世界,夫无则湛然不动，可谓之无；有则品物雷同，可谓之有。——《不真空论》
安萨里,伊斯兰波斯,B,符号,科学（如医、算）有益，然不可僭越于启示之上。——《迷途指津》〔译〕
帕斯卡,西方,B,世界,世界的历史充满偶然，伟大帝国的兴衰系于一桩小事。——《思想录》L425〔意译〕
马可·奥勒留,西方,B,自我,想想你所活过的岁月，与整个时间相比，不过一瞬。——《沉思录》卷四·50〔意译〕
马克思,西方,A,自我,人在对象化活动中确证自己。——《1844年经济学哲学手稿》〔译〕
熊十力,中国,B,自我,公者，仁之量也。——《原儒·卷二》 〔意译〕
鲁米,伊斯兰波斯,A,自我,伤口，是光进入你之处。——《玛斯纳维·卷二》〔译〕
冯友兰,中国,B,他者,所谓古今之别，实即社会类型之别。——《新事论》 〔意译〕
第欧根尼,西方,A,他者,若没有安提斯泰尼，我便只是一条狗。——〔译〕《名哲言行录》卷六·33
马克思,西方,A,自我,人的解放，是把自身从非人的关系中解放出来。——《1844年经济学哲学手稿》〔译〕
德谟克利特,西方,B,世界,世界不可计数，有的似我们的，有的不似。——〔译〕《残篇》DK B167（据艾修斯/第欧根尼·拉尔修 IX 转引）
伊壁鸠鲁,西方,A,自我,认清生命限度的人，能除去对未来的忧惧与对长短的渴求。——〔译〕《主要学说》KD 21
克里希那穆提,印度,A,自我,冥想不是逃离现实，而是对现实的全然觉知。——《重新认识你自己》〔译〕
亚里士多德,西方,B,符号,修辞是对应于辩证法的说服之能，关乎或然与可信。——〔译〕《修辞学》1356a
吉田兼好,日本,B,他者,世俗所贵，未必真贵。——《徒然草》〔译〕
伊壁鸠鲁,西方,B,世界,若否定虚空与原子，便无从解释运动与感觉。——〔译〕《梵蒂冈格言集》VS 65
僧肇,中国,A,世界,圣人不见有无，而睹其本。——《不真空论》
吉田兼好,日本,A,符号,文章之妙，在言外之余情。——《徒然草》〔译〕
李贽,中国,B,他者,六经、《语》《孟》，乃道学之口实，假人之渊薮也。——《焚书·童心说》
笛卡尔,西方,A,自我,我的实质、我的存在，并不依赖我的身体。——《第一哲学沉思集》第六沉思〔意译〕
王弼,中国,B,世界,玄者，冥也，默然无有也。——《老子注·一章》
叔本华,西方,B,他者,天才，是为全人类而受苦的器官。——《附录与补遗·论天才》〔译〕
伊壁鸠鲁,西方,A,自我,我们必须把自己从日常琐务的牢笼中解放出来。——〔译〕《梵蒂冈格言集》VS 58
塞涅卡,西方,B,自我,命运给每个人的处境不同，为的是考验各人能否在其中守持理性。——《论天意·2》〔译〕
尼采,西方,A,自我,我们所爱的，始终是我们的欲望，而不是我们所求之物。——《善恶的彼岸》箴言175〔意译〕
黑格尔,西方,A,自我,主体的自由，在于把必然性内化为自己的本质。——《法哲学原理·§15》〔译〕
安萨里,伊斯兰波斯,A,自我,我遍访各派，经怀疑之炼，终归于苏非之内在体验。——《迷途指津》〔译〕
叔本华,西方,A,自我,骄傲基于自我，虚荣基于他人。——《附录与补遗·人生的智慧》〔译〕
阿伦特,西方,A,自我,我始终是个外来者，这让我得以保留审视的距离。——《过去与未来之间》〔意译〕
笛卡尔,西方,A,自我,我的意志就其本性而言是自由的，不受任何外在强制。——《第一哲学沉思集》第四沉思〔意译〕
德谟克利特,西方,A,自我,节制能增益快乐，并使之持久。——〔译〕《残篇》DK B62（斯托拜乌斯转引）
斯宾诺莎,西方,B,世界,把神等同于自然，才能摆脱目的论的谬误。——《伦理学》第一部分·附录〔意译〕
休谟,西方,B,自我,效用是道德赞赏的主要来源。——《道德原则研究》〔意译〕
顾炎武,中国,B,他者,治乱之关，必在人心风俗。——《日知录·世风》
程颢,中国,A,自我,以诚敬存之，久而天理明。——《识仁篇》
王充,中国,A,自我,气寿，人之禀气，有厚薄，故命有长短。——《论衡·气寿》
董仲舒,中国,B,他者,君为臣纲，父为子纲，夫为妻纲。——《春秋繁露·基义》
郭象,中国,B,世界,群品独化于玄冥之境。——《庄子注·齐物论》
康德,西方,B,他者,世界公民的权利，应由普遍而受保障的永久和平来捍卫。——《永久和平论》（1795）〔译〕
商鞅,中国,A,他者,圣人苟可以强国，不法其故；苟可以利民，不循其礼。——《商君书·更法》
帕斯卡,西方,A,自我,自我（moi）是可恨的。——《思想录》L494〔意译〕
张载,中国,B,他者,为天地立心，为生民立命，为往圣继绝学，为万世开太平。——《张子语录》
荀子,中国,A,自我,凡人之欲为善者，为性恶也。——《荀子·性恶》
黑格尔,西方,B,他者,战争有其伦理上的必要性，它防止了内部生活的僵化。——《法哲学原理·§324》〔译〕
塞涅卡,西方,A,自我,愤怒是短暂的疯狂；它伤人之前先伤己。——《论愤怒·1·1》〔译〕
波普尔,西方,B,他者,社会工程应如修补匠，而非如建筑师一次性设计整座城市。——《开放社会及其敌人》〔意译〕
道元,日本,B,同一,大地众生，同一真性，无有高下。——《正法眼藏·仏法》
第欧根尼,西方,A,自我,我唯一的财富，是自足。——〔意译〕《名哲言行录》卷六（据其言行）
公孙龙,中国,B,符号,坚、白、石，三，可乎？曰：不可。曰：二，可乎？曰：可。——《公孙龙子·坚白论》
波普尔,西方,B,符号,我们知识的增长，是从错误到错误的无限进程。——《猜想与反驳》〔意译〕
德谟克利特,西方,B,他者,多数人虽富而少有善者，善者恒寡。——〔译〕《残篇》DK B99（斯托拜乌斯转引）
黄宗羲,中国,B,他者,史之可贵，在存一代之是非。——《南雷文定》 〔意译〕
熊十力,中国,B,符号,真理不可方物，而散见乎万事。——《十力语要·卷二》 〔意译〕
维特根斯坦,西方,B,符号,命名是语言游戏的一环，而非给事物贴永恒标签。——《哲学研究》§26〔译〕
龙树,印度,A,自我,我我所皆空，故于诸法无取无着。——《中论·观邪见品》〔意译〕
胡塞尔,西方,B,同一,世界不是自在的物自体，而是对我显现的意义统一体。——《纯粹现象学通论》§27〔译〕
冯友兰,中国,B,他者,中国哲学有一个主要底倾向，就是不离乎人伦日用。——《中国哲学简史·绪论》
罗素,西方,A,自我,一个人若只爱自己，他便很难获得真正的幸福。——《幸福之路》〔译〕
冯友兰,中国,B,世界,大全是一切底有，是宇宙之总名。——《新理学·第四章》
克里希那穆提,印度,A,自我,你无法经由努力摆脱恐惧，你只能观照它。——《重新认识你自己》〔译〕
萨特,西方,A,自我,人没有固定的本性，他须在一片荒芜中自我造就。——《存在主义是一种人道主义》〔意译〕
洛克,西方,B,他者,自然法是理性所发现的、维系和平与保全的法则。——《政府论两篇·下篇》章二·节6〔意译〕
克尔凯郭尔,西方,B,他者,群众，是真理与责任心之消灭。——《日记》（Papirer）〔译〕
柏拉图,西方,B,符号,知识即知觉——这是普罗泰戈拉的断言，却被证明自相矛盾。——〔译〕《泰阿泰德》151e—160c
亚里士多德,西方,A,自我,德性以中道为准绳，由理性规定，如明智者所定。——〔译〕《尼各马可伦理学》1107a
董仲舒,中国,B,他者,道者，所繇适于治之路也，仁义礼乐皆其具也。——《汉书·董仲舒传》（举贤良对策）
海德格尔,西方,A,自我,畏（Angst）揭示出此在的被抛与自由。——《存在与时间》§40〔译〕
赫拉克利特,西方,B,世界,猪在泥淖中洗浴，家禽在水里。——〔译〕《残篇》DK B13（克莱门转引）
僧肇,中国,B,自我,梵志出家，白首而归，邻人见之曰：「昔人尚存乎？」梵志曰：「吾犹昔人，非昔人也。」——《物不迁论》
帕斯卡,西方,B,自我,习惯是我们的第二天性，它摧毁第一天性。——《思想录》L434〔意译〕
顾炎武,中国,A,自我,吾辈所恃，在耿介之性。——《亭林文集》 〔意译〕
王充,中国,A,自我,贤不贤，才也；遇不遇，时也。——《论衡·逢遇》
周敦颐,中国,B,世界,天道行而万物顺，圣德修而万民化。——《通书·顺化》
安萨里,伊斯兰波斯,B,自我,社会之病，根于人心之病；欲治世，先治心。——《宗教学科的复兴》〔译〕
嵇康,中国,A,自我,纵逸来久，情意傲散，简与礼相背，懒与慢相成。——《与山巨源绝交书》
释迦牟尼,印度,A,符号,疑惑未断者，当依因缘善观，勿轻信、勿轻传。——《增一阿含经·卷二十六》（伽摩罗经，不盲从）
张载,中国,A,自我,知礼成性，变化气质。——《张子语录》
阿奎那,西方,B,他者,自然法之首条，是「当行善、避恶」；此自明于正理。——《神学大全·I-II·q.94·a.2》〔译〕
克里希那穆提,印度,A,自我,你不了解自己，就无法了解世界。——《人生中不可不想的事》〔译〕
马可·奥勒留,西方,A,自我,你随时可以退出人生——只要这个退出是理性的、经过考虑的、不自夸的。——《沉思录》卷五·29〔意译〕
福柯,西方,B,他者,全景敞视（panopticism）使权力的运作变得经济而隐蔽。——《规训与惩罚》〔译〕
阿伦特,西方,B,符号,故事讲述，揭示出行为与事件的意义。——《人的境况》〔意译〕
孟子,中国,A,自我,爱人不亲，反其仁；治人不治，反其智；礼人不答，反其敬。——《孟子·离娄上》
商鞅,中国,A,他者,王者之兵，胜而不骄，败而不怨。胜而不骄者，术明也；败而不怨者，知所失也。——《商君书·战法》
海亚姆,伊斯兰波斯,B,他者,园中玫瑰不知己美，人却为之争。——《鲁拜集》〔译〕
荀子,中国,B,世界,天地合而万物生，阴阳接而变化起。——《荀子·礼论》
康德,西方,B,符号,物自体不可知；我们所知的，只是现象。——《纯粹理性批判》〔译〕
董仲舒,中国,A,他者,天生民性有善质，而未能善，于是为之立王以善之，此天意也。——《春秋繁露·深察名号》
阿奎那,西方,A,自我,真正的谦卑，是认自己的一切善皆来自上；自夸，是夺神之荣耀。——《神学大全·II-II·q.161·a.1》〔译〕
王夫之,中国,A,自我,夫性者，生理也，日生则日成也。——《尚书引义·太甲二》
雅斯贝尔斯,西方,B,他者,历史的意义，在于人类通过交往朝向统一的理性。——《历史的起源与目标》〔意译〕
商鞅,中国,B,他者,壹赏，壹刑，壹教。——《商君书·赏刑》
李贽,中国,B,同一,人人各正一己之太极，各具有一己之乾元。——《焚书·答邓石阳》 #self-other
周敦颐,中国,B,世界,五行之生也，各一其性。——《太极图说》
斯宾诺莎,西方,B,他者,迷信源于恐惧与无知，把自然事件归因于神的愤怒。——《神学政治论》第一章〔意译〕
王夫之,中国,B,世界,太和，和之至也。——《张子正蒙注·太和篇》
莱布尼茨,西方,A,自我,使自己的知觉尽可能清楚，是理性灵魂的本分。——《单子论》第26节〔意译〕
孙子,中国,B,他者,君之所以患于军者三：不知军之不可以进而谓之进，不知军之不可以退而谓之退，是谓縻军。——《孙子兵法·谋攻篇》
萨特,西方,A,自我,自身之虚无，是一切否定的根源。——《存在与虚无》〔译〕
墨子,中国,A,他者,是故江河之水，非一源之水也；千镒之裘，非一狐之白也。——《墨子·亲士》
萨特,西方,B,他者,战争揭示：个体自由在集体暴力中被抹除。——《存在主义是一种人道主义》〔意译〕
克里希那穆提,印度,A,自我,心理的时间——「我将会」——是哀伤与冲突的根源。——《重新认识你自己》〔译〕
陆九渊,中国,B,同一,宇宙内事，是己分内事；己分内事，是宇宙内事。——《杂说》（卷二十二） #self-other
嵇康,中国,A,自我,每非汤武而薄周孔。——《与山巨源绝交书》
安萨里,伊斯兰波斯,B,他者,历史的兴衰，示人世之无常与审判之确。——《宗教学科的复兴》〔译〕
道元,日本,B,世界,国土与众生，不一不异。——《正法眼藏·仏法》
康德,西方,B,世界,一切变化，都遵循因果律。——《纯粹理性批判·先验分析论》〔译〕
吉田兼好,日本,B,世界,草木一岁一枯荣，人亦如是。——《徒然草》〔译〕
第欧根尼,西方,B,他者,所谓荣誉，不过是愚人彼此的喝彩。——〔意译〕《名哲言行录》卷六（据其嘲讽）
孙子,中国,B,他者,兵之情主速，乘人之不及，由不虞之道，攻其所不戒也。——《孙子兵法·九地篇》
安萨里,伊斯兰波斯,B,符号,多数人随习俗而信，鲜有以求证而信。——《迷途指津》〔译〕
马克思,西方,B,他者,相对过剩人口，是资本主义生产方式的必然产物。——《资本论》第一卷·第二十三章〔译〕
周敦颐,中国,A,自我,君子居之，何陋之有？——《通书·陋》
笛卡尔,西方,B,符号,感官对象在被感官知觉的范围内，其真理性是可疑的。——《第一哲学沉思集》第一沉思〔意译〕
斯宾诺莎,西方,B,符号,观念的次序与联系，同事物的次序与联系是一样的。——《伦理学》第二部分·命题七
爱比克泰德,西方,B,他者,当你见到一个人身居高位，不要艳羡；那位置自有其代价与风险。——《手册·15》〔译〕
黄宗羲,中国,B,自我,论学必原其始，论治必考其终。——《南雷文定》 〔意译〕
萨特,西方,B,他者,社会契约若压制自由，便违背人的本性。——《存在主义是一种人道主义》〔意译〕
吉田兼好,日本,A,自我,知无常，故惜此刻。——《徒然草》〔译〕
爱比克泰德,西方,B,符号,我们所称的「命运」，不过是把那不由我们掌控之事归于一处之名；智者不与命运争，只做好自己分内之事。——《论说集·1·1》〔意译〕
王夫之,中国,A,符号,知也者，固以行为功者也。——《尚书引义·说命中》
王弼,中国,A,符号,不知知之不足任，则病也。——《老子注·七十一章》
克里希那穆提,印度,B,自我,思想所造的乌托邦，仍是思想的牢笼。——《重新认识你自己》〔译〕
孟子,中国,A,自我,人不可以无耻，无耻之耻，无耻矣。——《孟子·尽心上》
叔本华,西方,B,他者,婚姻，就其本质，是种族对个体的胜利。——《作为意志和表象的世界》〔译〕
德谟克利特,西方,B,世界,凡物皆由原子聚散，生死不过是聚散之变换。——〔译〕《残篇》DK B（据原子论通义，第欧根尼·拉尔修 IX 转引）
海亚姆,伊斯兰波斯,B,符号,七十二教派争讼，真理在杯底无言。——《鲁拜集》〔译〕
第欧根尼,西方,B,他者,真正的共同体，是智者之间的友爱，而非城墙与疆界。——〔意译〕《名哲言行录》卷六·61（引申）
张载,中国,A,自我,仁之难成久矣，人人失其所好；故仁者之难得也，然后知仁之为难成。——《正蒙·中正》
王充,中国,A,世界,命则不可勉，时则不可力。——《论衡·命禄》
密尔,西方,A,自我,人类应当成为自己的造就者。——《论自由》〔译〕
郭象,中国,B,世界,夫相因之功，莫若独化之至。——《庄子注·大宗师》
慧能,中国,A,自我,若识本心，即本解脱。——《坛经》（敦煌本）
柏拉图,西方,A,自我,对义人而言，无论生前死后，神都不会忽视他。——〔译〕《斐多》62b、107c
波普尔,西方,B,符号,我们不知道，我们只能在猜测。——《客观知识》〔译〕
公孙龙,中国,A,符号,以其所正，正其所不正；以其所不正，疑其所正。——《公孙龙子·名实论》
加缪,西方,A,自我,清醒地活着，是人对自身最大的诚实。——《西西弗神话》〔意译〕
朱熹,中国,B,自我,论天地之性，则专指理言；论气质之性，则以理与气杂而言之。——《语类》卷四
冯友兰,中国,A,自我,在道德境界中底人，其行为是行义底。——《新原人·第三章》
商鞅,中国,B,他者,民勇，则赏之以其所欲；民怯，则杀之以其所恶。——《商君书·去强》
龙树,印度,A,自我,修行者当先观自身，三十六物不净，何有实我可得？——《大智度论·卷二十一》〔意译〕
黄宗羲,中国,B,他者,传贤之法，固可于郡县之中行之。——《明夷待访录·置相》 〔意译〕
克里希那穆提,印度,A,自我,当你完全接受「事实」，冲突就停止了。——《重新认识你自己》〔译〕
巴门尼德,西方,B,世界,存在者不生不灭；因为它若生，必生于无，而无并不存在。——〔译〕《论自然》残篇 DK B8（辛普里丘转引）
尼采,西方,A,自我,我身上有一个不可摧毁的东西，那就是我的意志。——《查拉图斯特拉如是说》〔意译〕
尼采,西方,A,自我,谁若不能命令自己，就应当服从别人。——《善恶的彼岸》箴言199〔意译〕
斯宾诺莎,西方,A,自我,对神的理智之爱，是人的最高幸福。——《伦理学》第五部分·命题二十附释〔意译〕
克尔凯郭尔,西方,B,他者,当今时代，是反思、平均化的时代。——《现时代》（本名）〔译〕
第欧根尼,西方,A,自我,手杖与行囊，便是我全部的家当；人所需本就不多。——〔译〕《名哲言行录》卷六·30
黄宗羲,中国,B,他者,科举之弊，在乎徒事章句。——《明夷待访录·取士》 〔意译〕
顾炎武,中国,B,他者,有亡国，有亡天下。——《日知录·正始》
柏拉图,西方,B,他者,除非哲人成为王，或王成为哲人，否则城邦永无宁日。——〔译〕《理想国》473c—474a
李贽,中国,A,自我,凡为学，须是真实为己，方能有益。——《焚书》（近《答友人书》意） ⚠️
陆九渊,中国,A,自我,才与胆皆因识见而后充者也。——《语录》（卷三十五）
马可·奥勒留,西方,B,他者,理性动物是为彼此而存在的。——《沉思录》卷二·1
程颢,中国,B,自我,欲当大任，须是笃实。——《遗书》卷十一
萨特,西方,B,他者,人若否定他人自由，便否定自身自由。——《存在主义是一种人道主义》〔译〕
斯宾诺莎,西方,B,世界,除神之外，不能设想也不能存在任何实体。——《伦理学》第一部分·命题十四附释
龙树,印度,B,世界,诸法实相者，心行言语断，无生亦无灭，寂灭如涅槃。——《中论·观法品》（实相偈）
